COMMAND   PID    USER   FD      TYPE             DEVICE SIZE/OFF       NODE NAME
systemd  1550 neptuno  cwd       DIR              252,0     4096          2 /
systemd  1550 neptuno  rtd       DIR              252,0     4096          2 /
systemd  1550 neptuno  txt       REG              252,0  1425216     786754 /lib/systemd/systemd
systemd  1550 neptuno  mem       REG              252,0    51736     787002 /lib/x86_64-linux-gnu/libnss_files-2.21.so
systemd  1550 neptuno  mem       REG              252,0    47616     787006 /lib/x86_64-linux-gnu/libnss_nis-2.21.so
systemd  1550 neptuno  mem       REG              252,0    97224     786996 /lib/x86_64-linux-gnu/libnsl-2.21.so
systemd  1550 neptuno  mem       REG              252,0    35688     786998 /lib/x86_64-linux-gnu/libnss_compat-2.21.so
systemd  1550 neptuno  mem       REG              252,0    19000     787053 /lib/x86_64-linux-gnu/libuuid.so.1.3.0
systemd  1550 neptuno  mem       REG              252,0   258376     786936 /lib/x86_64-linux-gnu/libblkid.so.1.1.0
systemd  1550 neptuno  mem       REG              252,0    14592     786954 /lib/x86_64-linux-gnu/libdl-2.21.so
systemd  1550 neptuno  mem       REG              252,0   444344     787018 /lib/x86_64-linux-gnu/libpcre.so.3.13.1
systemd  1550 neptuno  mem       REG              252,0    31680     787029 /lib/x86_64-linux-gnu/librt-2.21.so
systemd  1550 neptuno  mem       REG              252,0   274504     786987 /lib/x86_64-linux-gnu/libmount.so.1.1.0
systemd  1550 neptuno  mem       REG              252,0    52144     786928 /lib/x86_64-linux-gnu/libapparmor.so.1.2.1
systemd  1550 neptuno  mem       REG              252,0    92824     786980 /lib/x86_64-linux-gnu/libkmod.so.2.2.8
systemd  1550 neptuno  mem       REG              252,0   109032     786934 /lib/x86_64-linux-gnu/libaudit.so.1.0.0
systemd  1550 neptuno  mem       REG              252,0    64048     787011 /lib/x86_64-linux-gnu/libpam.so.0.83.1
systemd  1550 neptuno  mem       REG              252,0    18952     786945 /lib/x86_64-linux-gnu/libcap.so.2.24
systemd  1550 neptuno  mem       REG              252,0   138400     787031 /lib/x86_64-linux-gnu/libselinux.so.1
systemd  1550 neptuno  mem       REG              252,0  1869392     786942 /lib/x86_64-linux-gnu/libc-2.21.so
