COMMAND     PID  USER   FD      TYPE             DEVICE SIZE/OFF    NODE NAME
gnome-key 17520 sedna  cwd       DIR                8,1     4096       2 /
gnome-key 17520 sedna  rtd       DIR                8,1     4096       2 /
gnome-key 17520 sedna  txt       REG                8,1   944680  916730 /usr/bin/gnome-keyring-daemon
gnome-key 17520 sedna  mem       REG                8,1    52448  139205 /usr/lib/x86_64-linux-gnu/gio/modules/libdconfsettings.so
gnome-key 17520 sedna  mem       REG                8,1    38920  524669 /lib/x86_64-linux-gnu/libnih-dbus.so.1.0.0
gnome-key 17520 sedna  mem       REG                8,1    96280  524671 /lib/x86_64-linux-gnu/libnih.so.1.0.0
gnome-key 17520 sedna  mem       REG                8,1   108480  524603 /lib/x86_64-linux-gnu/libcgmanager.so.0.0.0
gnome-key 17520 sedna  mem       REG                8,1    67600  524761 /lib/x86_64-linux-gnu/libudev.so.1.3.5
gnome-key 17520 sedna  mem       REG                8,1   237504  139594 /usr/lib/x86_64-linux-gnu/gvfs/libgvfscommon.so
gnome-key 17520 sedna  mem       REG                8,1   202696  139210 /usr/lib/x86_64-linux-gnu/gio/modules/libgvfsdbus.so
gnome-key 17520 sedna  mem       REG                8,1   118392  139209 /usr/lib/x86_64-linux-gnu/gio/modules/libgioremote-volume-monitor.so
gnome-key 17520 sedna  mem       REG                8,1  1071552  524651 /lib/x86_64-linux-gnu/libm-2.19.so
gnome-key 17520 sedna  mem       REG                8,1    90080  524625 /lib/x86_64-linux-gnu/libgcc_s.so.1
gnome-key 17520 sedna  mem       REG                8,1   979056  141291 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19
gnome-key 17520 sedna  mem       REG                8,1   134456  141117 /usr/lib/x86_64-linux-gnu/libproxy.so.1.0.0
gnome-key 17520 sedna  mem       REG                8,1  7220720  931370 /usr/lib/locale/locale-archive
gnome-key 17520 sedna  mem       REG                8,1    14664  524615 /lib/x86_64-linux-gnu/libdl-2.19.so
gnome-key 17520 sedna  mem       REG                8,1    18416  524631 /lib/x86_64-linux-gnu/libgpg-error.so.0.10.0
gnome-key 17520 sedna  mem       REG                8,1    31792  524739 /lib/x86_64-linux-gnu/librt-2.19.so
gnome-key 17520 sedna  mem       REG                8,1   252032  524714 /lib/x86_64-linux-gnu/libpcre.so.3.13.1
gnome-key 17520 sedna  mem       REG                8,1    30944  140302 /usr/lib/x86_64-linux-gnu/libffi.so.6.0.1
gnome-key 17520 sedna  mem       REG                8,1   101240  524737 /lib/x86_64-linux-gnu/libresolv-2.19.so
gnome-key 17520 sedna  mem       REG                8,1   134296  524741 /lib/x86_64-linux-gnu/libselinux.so.1
gnome-key 17520 sedna  mem       REG                8,1   100728  524776 /lib/x86_64-linux-gnu/libz.so.1.2.8
gnome-key 17520 sedna  mem       REG                8,1    14592  140473 /usr/lib/x86_64-linux-gnu/libgmodule-2.0.so.0.4002.0
gnome-key 17520 sedna  mem       REG                8,1   268368  141026 /usr/lib/x86_64-linux-gnu/libp11-kit.so.0.0.0
gnome-key 17520 sedna  mem       REG                8,1  1840928  524598 /lib/x86_64-linux-gnu/libc-2.19.so
gnome-key 17520 sedna  mem       REG                8,1   141574  524731 /lib/x86_64-linux-gnu/libpthread-2.19.so
gnome-key 17520 sedna  mem       REG                8,1    18344  140097 /usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0
gnome-key 17520 sedna  mem       REG                8,1   524704  524627 /lib/x86_64-linux-gnu/libgcrypt.so.11.8.2
gnome-key 17520 sedna  mem       REG                8,1   281552  524612 /lib/x86_64-linux-gnu/libdbus-1.so.3.7.6
gnome-key 17520 sedna  mem       REG                8,1  1078368  524629 /lib/x86_64-linux-gnu/libglib-2.0.so.0.4002.0
gnome-key 17520 sedna  mem       REG                8,1   330904  140507 /usr/lib/x86_64-linux-gnu/libgobject-2.0.so.0.4002.0
gnome-key 17520 sedna  mem       REG                8,1  1513096  140446 /usr/lib/x86_64-linux-gnu/libgio-2.0.so.0.4002.0
gnome-key 17520 sedna  mem       REG                8,1   212904  140391 /usr/lib/x86_64-linux-gnu/libgck-1.so.0.0.0
gnome-key 17520 sedna  mem       REG                8,1   595368  140395 /usr/lib/x86_64-linux-gnu/libgcr-base-3.so.1.0.0
gnome-key 17520 sedna  mem       REG                8,1   149120  524572 /lib/x86_64-linux-gnu/ld-2.19.so
gnome-key 17520 sedna  mem       REG                8,1   336528  661829 /usr/share/glib-2.0/schemas/gschemas.compiled
gnome-key 17520 sedna  DEL       REG                8,1           785761 /home/sedna/.config/dconf/user
gnome-key 17520 sedna  DEL       REG               0,21            40274 /run/user/1000/dconf/user
gnome-key 17520 sedna    0r      CHR                1,3      0t0    6447 /dev/null
gnome-key 17520 sedna    1r      CHR                1,3      0t0    6447 /dev/null
gnome-key 17520 sedna    2r      CHR                1,3      0t0    6447 /dev/null
gnome-key 17520 sedna    3u     0000                0,9        0    6402 anon_inode
gnome-key 17520 sedna    4u     unix 0x0000000000000000      0t0   39879 /run/user/1000/keyring-7WX2CL/control
gnome-key 17520 sedna    5u     unix 0x0000000000000000      0t0   40314 socket
gnome-key 17520 sedna    6u     unix 0x0000000000000000      0t0   40294 /run/user/1000/keyring-7WX2CL/ssh
gnome-key 17520 sedna    7u     unix 0x0000000000000000      0t0   40296 /run/user/1000/keyring-7WX2CL/gpg
gnome-key 17520 sedna    8u     0000                0,9        0    6402 anon_inode
gnome-key 17520 sedna    9u     unix 0x0000000000000000      0t0   40299 socket
gnome-key 17520 sedna   10u     unix 0x0000000000000000      0t0   40300 socket
gnome-key 17520 sedna   11u     0000                0,9        0    6402 anon_inode
gnome-key 17520 sedna   12u     unix 0x0000000000000000      0t0   40309 /run/user/1000/keyring-7WX2CL/pkcs11
gnome-key 17520 sedna   13u     unix 0x0000000000000000      0t0   42222 /run/user/1000/keyring-7WX2CL/pkcs11
mate-sess 17532 sedna  cwd       DIR                8,1     4096  784898 /home/sedna
mate-sess 17532 sedna  rtd       DIR                8,1     4096       2 /
mate-sess 17532 sedna  txt       REG                8,1   231568  917262 /usr/bin/mate-session
mate-sess 17532 sedna  mem       REG                8,1   200312  139516 /usr/lib/x86_64-linux-gnu/gtk-2.0/2.10.0/engines/libmurrine.so
mate-sess 17532 sedna  mem       REG                8,1    52448  139205 /usr/lib/x86_64-linux-gnu/gio/modules/libdconfsettings.so
mate-sess 17532 sedna  mem       REG                8,1    67600  524761 /lib/x86_64-linux-gnu/libudev.so.1.3.5
mate-sess 17532 sedna  mem       REG                8,1   237504  139594 /usr/lib/x86_64-linux-gnu/gvfs/libgvfscommon.so
mate-sess 17532 sedna  mem       REG                8,1   202696  139210 /usr/lib/x86_64-linux-gnu/gio/modules/libgvfsdbus.so
mate-sess 17532 sedna  mem       REG                8,1   118392  139209 /usr/lib/x86_64-linux-gnu/gio/modules/libgioremote-volume-monitor.so
mate-sess 17532 sedna  mem       REG                8,1    90080  524625 /lib/x86_64-linux-gnu/libgcc_s.so.1
mate-sess 17532 sedna  mem       REG                8,1   979056  141291 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19
mate-sess 17532 sedna  mem       REG                8,1   134456  141117 /usr/lib/x86_64-linux-gnu/libproxy.so.1.0.0
mate-sess 17532 sedna  mem       REG                8,1    73296  139544 /usr/lib/x86_64-linux-gnu/gtk-2.0/modules/liboverlay-scrollbar.so
mate-sess 17532 sedna  mem       REG                8,1  7220720  931370 /usr/lib/locale/locale-archive
mate-sess 17532 sedna  mem       REG                8,1    26512  140183 /usr/lib/x86_64-linux-gnu/libdatrie.so.1.3.1
mate-sess 17532 sedna  mem       REG                8,1   112936  140601 /usr/lib/x86_64-linux-gnu/libgraphite2.so.3.0.1
mate-sess 17532 sedna  mem       REG                8,1   170064  524620 /lib/x86_64-linux-gnu/libexpat.so.1.6.0
mate-sess 17532 sedna  mem       REG                8,1    36936  141325 /usr/lib/x86_64-linux-gnu/libthai.so.0.2.0
mate-sess 17532 sedna  mem       REG                8,1   347024  140738 /usr/lib/x86_64-linux-gnu/libharfbuzz.so.0.927.0
mate-sess 17532 sedna  mem       REG                8,1    34912  141608 /usr/lib/x86_64-linux-gnu/libxcb-render.so.0.0.0
mate-sess 17532 sedna  mem       REG                8,1    10336  141616 /usr/lib/x86_64-linux-gnu/libxcb-shm.so.0.0.0
mate-sess 17532 sedna  mem       REG                8,1   153936  524726 /lib/x86_64-linux-gnu/libpng12.so.0.50.0
mate-sess 17532 sedna  mem       REG                8,1   690968  141081 /usr/lib/x86_64-linux-gnu/libpixman-1.so.0.30.2
mate-sess 17532 sedna  mem       REG                8,1   666080  140368 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.11.1
mate-sess 17532 sedna  mem       REG                8,1    22616  139887 /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
mate-sess 17532 sedna  mem       REG                8,1    38920  524669 /lib/x86_64-linux-gnu/libnih-dbus.so.1.0.0
mate-sess 17532 sedna  mem       REG                8,1    96280  524671 /lib/x86_64-linux-gnu/libnih.so.1.0.0
mate-sess 17532 sedna  mem       REG                8,1   108480  524603 /lib/x86_64-linux-gnu/libcgmanager.so.0.0.0
mate-sess 17532 sedna  mem       REG                8,1   252032  524714 /lib/x86_64-linux-gnu/libpcre.so.3.13.1
